Reading, Time (micro), X Coord, Y Coord
628,7375684,0.350385,0.232509
629,7384584,0.371288,0.24398
630,7396366,0.387187,0.254459
631,7406873,0.400519,0.263701
632,7419486,0.411394,0.271657
633,7429715,0.420231,0.27861
634,7440004,0.427855,0.284974
635,7452068,0.434324,0.290484
636,7462886,0.440632,0.294636
637,7473541,0.446213,0.29811
638,7485374,0.451024,0.301221
639,7496310,0.454384,0.3054
640,7506765,0.457318,0.309264
641,7518518,0.459972,0.312388
642,7529804,0.462764,0.315037
643,7540145,0.465055,0.317607
644,7551906,0.466668,0.320089
645,7562796,0.467848,0.322193
646,7573532,0.469204,0.323728
647,7585329,0.470831,0.32524
648,7596087,0.472363,0.326875
649,7606889,0.473694,0.328236
650,7618615,0.474956,0.329671
651,7629337,0.476324,0.330712
652,7640188,0.47755,0.332099
653,7651960,0.478615,0.333016
654,7662918,0.479617,0.333883
655,7673429,0.480413,0.334518
656,7685173,0.481072,0.335551
657,7696296,0.481462,0.336516
658,7706704,0.48195,0.337546
659,7718673,0.482713,0.338312
660,7729425,0.483576,0.338934
661,7739934,0.484487,0.339668
662,7751989,0.484933,0.340529
663,7762680,0.485105,0.342062
664,7773329,0.485197,0.343522
665,7785062,0.48535,0.344753
666,7795884,0.4857,0.345345
667,7806785,0.486029,0.345939
668,7818446,0.486648,0.346935
669,7829192,0.487127,0.348319
670,7839952,0.487599,0.349426
671,7851763,0.487727,0.350076
672,7862690,0.487761,0.350481
673,7873051,0.487781,0.350701
674,7885066,0.487936,0.35093
675,7896014,0.488061,0.351248
676,7906582,0.488172,0.351769
677,7918298,0.486653,0.353958
678,7929316,0.481507,0.360291
679,7939933,0.465581,0.376606
680,7951408,0.43917,0.400108
681,7962594,0.392655,0.431502
682,7973094,0.331468,0.471759
683,7984753,0.279429,0.506797
684,7995771,0.23668,0.53646
685,8006483,0.202679,0.560208
686,8018207,0.175405,0.580061
687,8029107,0.153694,0.59709
688,8039716,0.136268,0.611682
689,8051702,0.121578,0.624438
690,8062410,0.109078,0.634997
691,8072876,0.0982906,0.643964
692,8084709,0.0893914,0.651434
693,8095748,0.0821361,0.657453
694,8106473,0.0759267,0.662871
695,8118022,0.0703818,0.667728
696,8129202,0.0658342,0.672498
697,8139560,0.0619945,0.67692
698,8151455,0.0587583,0.680621
699,8162264,0.0556951,0.684351
700,8172764,0.0529394,0.687541
701,8184791,0.0504721,0.690228
702,8195500,0.0481868,0.692367
703,8206407,0.0462389,0.693715
704,8217929,0.0448193,0.6951
705,8229066,0.0436405,0.696585
706,8239479,0.042611,0.698096
707,8251377,0.0417938,0.699496
708,8262377,0.0410962,0.699927
709,8272834,0.0405408,0.700383
710,8284748,0.0395846,0.700694
711,8295717,0.0384098,0.701378
712,8306425,0.0373764,0.70191
713,8318015,0.0365331,0.702186
714,8328835,0.0359958,0.702097
715,8339640,0.0354695,0.701896
716,8351173,0.0350112,0.701797
717,8362203,0.0345781,0.701966
718,8372750,0.0339586,0.702481
719,8384608,0.0332326,0.703089
720,8395465,0.0327637,0.703873
721,8406656,0.0324568,0.704458
722,8417936,0.0325406,0.704922
723,8428678,0.032644,0.70512
724,8439535,0.0328126,0.7053
725,8451803,0.0327866,0.705625
726,8462045,0.0325589,0.705807
727,8472630,0.0323993,0.705924
728,8484413,0.032255,0.706
729,8495381,0.0322836,0.706238
730,8506168,0.0321899,0.706175
731,8517668,0.0322558,0.706119
732,8528275,0.0322399,0.706673
733,8539333,0.0322991,0.707619
734,8551135,0.032317,0.708302
735,8562139,0.0323446,0.708697
736,8572633,0.0325213,0.70899
737,8584510,0.0324712,0.709204
738,8595320,0.0324764,0.708933
739,8606107,0.0323401,0.708832
740,8617776,0.0323834,0.708858
741,8628625,0.0324279,0.709204
742,8639369,0.0325875,0.709375
743,8651064,0.0325082,0.709352
744,8661927,0.0324176,0.709301
745,8672657,0.0322075,0.709235
746,8684455,0.0325993,0.709206
747,8695472,0.0329295,0.709598
748,8705799,0.0333568,0.710386
749,8717736,0.0334241,0.71133
750,8728857,0.0336754,0.711711
751,8739202,0.0338008,0.711722
752,8750949,0.0338176,0.711571
753,8761981,0.0337309,0.711064
754,8772529,0.0337388,0.710586
755,8784039,0.0335591,0.710059
756,8795303,0.033513,0.709867
757,8805872,0.033354,0.709737
758,8817568,0.0334121,0.709887
759,8828418,0.0334247,0.709907
760,8839301,0.0336438,0.710101
761,8850801,0.0364229,0.709472
762,8861707,0.0536769,0.704234
763,8872540,0.103641,0.687537
764,8884039,0.163919,0.668373
765,8895282,0.224722,0.648417
766,8905777,0.279985,0.629494
767,8917361,0.32261,0.613104
768,8928672,0.356674,0.599406
769,8939218,0.384181,0.588262
770,8950927,0.405723,0.578656
771,8961867,0.42316,0.570506
772,8972646,0.437356,0.563279
773,8984367,0.449191,0.556911
774,8995054,0.459375,0.551261
775,9005853,0.46769,0.54625
776,9017389,0.47474,0.541833
777,9028534,0.480713,0.537709
778,9038766,0.485754,0.534232
779,9050913,0.490088,0.531287
780,9061651,0.493657,0.528907
781,9072270,0.496786,0.526599
782,9084176,0.499459,0.524366
783,9095025,0.501393,0.522816
784,9105854,0.502465,0.521394
785,9118197,0.50063,0.51986
786,9128456,0.497379,0.51684
787,9138935,0.49307,0.513769
788,9150799,0.489368,0.510527
789,9161772,0.486176,0.507625
790,9172194,0.483084,0.504762
791,9184024,0.480184,0.502212
792,9194998,0.477246,0.500344
793,9205982,0.474648,0.498593
794,9217656,0.474052,0.497916
795,9228263,0.475135,0.497439
796,9238658,0.478458,0.497422
797,9250716,0.481143,0.497403
