Reading, Time (micro), X Coord, Y Coord,
37955,429541785,0.522287,0.849713,
37956,429552328,0.518893,0.850812,
37957,429564048,0.516048,0.851744,
37958,429574973,0.51351,0.852884,
37959,429585546,0.511087,0.854147,
37960,429597450,0.508406,0.85509,
37961,429608438,0.505955,0.855816,
37962,429618939,0.503881,0.856249,
37963,429630816,0.502357,0.856997,
37964,429641687,0.500977,0.857722,
37965,429652340,0.49952,0.858553,
37966,429664298,0.497988,0.859127,
37967,429674977,0.496786,0.859421,
37968,429685590,0.495881,0.859821,
37969,429697328,0.495424,0.860359,
37970,429708340,0.494982,0.860911,
37971,429718942,0.494364,0.861178,
37972,429730680,0.492991,0.861737,
37973,429741675,0.489302,0.862766,
37974,429752117,0.483213,0.864195,
37975,429764055,0.475869,0.865293,
37976,429774898,0.46928,0.866214,
37977,429785500,0.463585,0.86702,
37978,429797270,0.458235,0.8679,
37979,429808293,0.453176,0.868843,
37980,429818816,0.448617,0.869729,
37981,429830634,0.445077,0.870665,
37982,429841519,0.441937,0.871494,
37983,429852071,0.439251,0.872194,
37984,429863997,0.436904,0.873043,
37985,429874913,0.434853,0.873963,
37986,429885417,0.432913,0.874786,
37987,429897264,0.430848,0.875286,
37988,429908135,0.429153,0.87559,
37989,429918824,0.427513,0.875903,
37990,429930630,0.425552,0.873589,
37991,429941496,0.42252,0.862276,
37992,429952172,0.418545,0.836015,
37993,429963932,0.413732,0.799096,
37994,429974873,0.408967,0.762219,
37995,429985545,0.40459,0.729924,
37996,429997242,0.400766,0.702969,
37997,430008157,0.39727,0.680563,
37998,430018768,0.394102,0.661819,
37999,430030454,0.390821,0.645692,
38000,430041515,0.387967,0.631666,
38001,430052020,0.385292,0.619401,
38002,430063686,0.382829,0.608931,
38003,430074682,0.380344,0.600236,
38004,430085422,0.378046,0.592883,
38005,430097090,0.376015,0.586726,
38006,430108075,0.37435,0.581228,
38007,430118751,0.372821,0.576332,
38008,430130365,0.371136,0.572024,
38009,430141393,0.369439,0.568398,
38010,430152019,0.368013,0.565428,
38011,430163756,0.367303,0.563125,
38012,430174676,0.366965,0.561027,
38013,430185311,0.366709,0.559166,
38014,430197038,0.366159,0.557266,
38015,430208109,0.36544,0.555485,
38016,430218566,0.364938,0.550988,
38017,430230318,0.36562,0.542336,
38018,430241355,0.368796,0.529348,
38019,430251806,0.374742,0.514715,
38020,430263590,0.381996,0.501147,
38021,430274547,0.388998,0.488798,
38022,430285247,0.395322,0.478495,
38023,430296933,0.400469,0.469209,
38024,430307786,0.405127,0.461338,
38025,430318630,0.409296,0.454196,
38026,430330180,0.413297,0.448142,
38027,430341156,0.416764,0.442718,
38028,430351848,0.419939,0.437993,
38029,430363468,0.423015,0.433742,
38030,430374409,0.425872,0.429884,
38031,430385073,0.42843,0.426294,
38032,430396868,0.430701,0.423051,
38033,430407758,0.432685,0.420078,
38034,430418406,0.434494,0.417512,
38035,430430086,0.435926,0.415237,
38036,430441129,0.437089,0.41348,
38037,430451728,0.438136,0.411936,
38038,430463409,0.43966,0.410704,
38039,430474506,0.441263,0.409409,
38040,430484955,0.442935,0.40799,
38041,430496733,0.443853,0.406537,
38042,430507760,0.444684,0.405533,
38043,430518399,0.446449,0.405004,
38044,430529945,0.449903,0.404781,
38045,430541126,0.45494,0.404789,
38046,430551645,0.459918,0.405084,
38047,430563243,0.464959,0.405437,
38048,430574256,0.469682,0.405726,
38049,430584874,0.473946,0.406032,
38050,430596610,0.477539,0.406549,
38051,430607552,0.481123,0.40694,
38052,430618274,0.484481,0.407252,
38053,430629896,0.487558,0.407679,
38054,430640940,0.490205,0.408227,
38055,430651569,0.49268,0.408873,
38056,430663167,0.494793,0.409112,
38057,430674259,0.496645,0.409259,
38058,430684799,0.498198,0.40907,
38059,430696495,0.499801,0.408906,
38060,430707597,0.5012,0.408717,
38061,430718183,0.502653,0.408779,
38062,430729832,0.503733,0.40905,
38063,430740832,0.505076,0.409247,
38064,430751468,0.506301,0.40945,
38065,430763082,0.507274,0.409512,
38066,430774135,0.508089,0.409489,
38067,430784863,0.508694,0.40941,
38068,430796488,0.509579,0.409542,
38069,430807466,0.510166,0.410129,
38070,430818030,0.510839,0.411014,
38071,430829749,0.51127,0.411769,
38072,430840841,0.511759,0.412076,
38073,430851340,0.51224,0.412212,
38074,430863109,0.513018,0.412557,
38075,430874043,0.514966,0.413782,
38076,430884633,0.517931,0.415185,
38077,430896284,0.521942,0.416582,
38078,430907412,0.526036,0.417302,
38079,430917953,0.529932,0.418005,
38080,430929686,0.533276,0.418899,
38081,430940675,0.535982,0.420395,
38082,430951180,0.538391,0.4222,
38083,430962938,0.540636,0.423453,
38084,430974009,0.542709,0.424315,
38085,430984699,0.544657,0.424788,
38086,430996315,0.546436,0.425104,
38087,431007440,0.548071,0.42523,
38088,431017870,0.549547,0.425459,
38089,431029606,0.551221,0.426245,
38090,431040624,0.552919,0.427115,
38091,431051180,0.554498,0.428157,
38092,431062871,0.555552,0.428747,
38093,431073976,0.556394,0.429443,
38094,431084480,0.557206,0.429871,
38095,431096196,0.558105,0.430163,
38096,431107289,0.558821,0.43038,
38097,431117815,0.559491,0.430374,
38098,431129457,0.560173,0.430388,
38099,431140485,0.561254,0.430013,
38100,431151137,0.562259,0.429728,
38101,431162697,0.563393,0.429561,
38102,431173913,0.563809,0.430042,
38103,431184295,0.56419,0.430731,
38104,431196067,0.564591,0.431687,
38105,431207131,0.56558,0.432121,
38106,431217740,0.56592,0.431467,
38107,431229448,0.56366,0.42739,
38108,431240479,0.55583,0.419009,
38109,431251136,0.543243,0.406903,
38110,431262700,0.529321,0.39509,
38111,431273734,0.517,0.384697,
38112,431284379,0.506531,0.375768,
38113,431296057,0.497274,0.367842,
38114,431307013,0.489185,0.360875,
38115,431317569,0.482022,0.354402,
38116,431329332,0.475876,0.348198,
38117,431340254,0.470782,0.34256,
38118,431350814,0.466149,0.337625,
38119,431362582,0.461941,0.333206,
38120,431373841,0.457868,0.329604,
38121,431384249,0.454266,0.326441,
38122,431395933,0.451046,0.323962,
38123,431406862,0.448391,0.321522,
38124,431417613,0.446036,0.319412,
38125,431429229,0.443963,0.317727,
38126,431440203,0.442033,0.316276,
38127,431450868,0.440309,0.315084,
38128,431462549,0.438679,0.313537,
38129,431473580,0.437135,0.312219,
38130,431484015,0.435267,0.310581,
38131,431495822,0.431485,0.307756,
38132,431506787,0.42591,0.303163,
38133,431517435,0.418837,0.297983,
38134,431529061,0.41247,0.293753,
38135,431540211,0.406553,0.290353,
38136,431550660,0.401202,0.287112,
38137,431562435,0.396244,0.284167,
38138,431573491,0.391992,0.281346,
38139,431584009,0.388173,0.278958,
38140,431595731,0.384971,0.276906,
38141,431606827,0.382196,0.274966,
38142,431617296,0.379593,0.273139,
38143,431629009,0.376972,0.27137,
38144,431640189,0.37445,0.269841,
38145,431650573,0.372257,0.268513,
38146,431662402,0.37047,0.26746,
38147,431673404,0.368545,0.266883,
38148,431683948,0.36663,0.266283,
38149,431695587,0.364712,0.265695,
38150,431706774,0.363142,0.264825,
38151,431717348,0.36178,0.264062,
38152,431728962,0.36046,0.263394,
38153,431740047,0.359265,0.263002,
38154,431750459,0.358265,0.262687,
38155,431762269,0.357301,0.262411,
38156,431773285,0.357795,0.261961,
38157,431783806,0.360725,0.261185,
38158,431795551,0.367145,0.260266,
38159,431806654,0.374729,0.259362,
38160,431817300,0.381785,0.258826,
38161,431828865,0.388338,0.258366,
38162,431839882,0.394713,0.257864,
38163,431850502,0.400666,0.257534,
38164,431862159,0.406063,0.25725,
38165,431873283,0.41081,0.257069,
38166,431883875,0.414862,0.256858,
38167,431895492,0.418123,0.256643,
38168,431906501,0.421176,0.256087,
38169,431917165,0.42408,0.255263,
38170,431928766,0.426986,0.254223,
38171,431939768,0.429494,0.25359,
38172,431950378,0.431758,0.253188,
38173,431962118,0.433896,0.253177,
38174,431973090,0.435801,0.25334,
38175,431983745,0.437353,0.253495,
38176,431995386,0.439188,0.253736,
38177,432006508,0.443754,0.254311,
38178,432017035,0.451694,0.25603,
38179,432028663,0.462144,0.258966,
38180,432039821,0.471289,0.262603,
38181,432050370,0.479224,0.266342,
38182,432062120,0.486326,0.270048,
38183,432073073,0.493081,0.27325,
38184,432083687,0.4991,0.27626,
38185,432095341,0.50457,0.278599,
38186,432106334,0.50924,0.280644,
38187,432117040,0.513438,0.282458,
38188,432128579,0.517238,0.284485,
38189,432139777,0.520587,0.286765,
38190,432150219,0.523628,0.288603,
38191,432161963,0.526308,0.290174,
38192,432172888,0.528788,0.291888,
38193,432183699,0.530953,0.293548,
38194,432195169,0.533007,0.294891,
38195,432206182,0.535011,0.295396,
38196,432216832,0.536752,0.295951,
38197,432228431,0.53848,0.296425,
38198,432239667,0.540079,0.296988,
38199,432250144,0.541813,0.297713,
38200,432261864,0.54325,0.298629,
38201,432272906,0.544586,0.299783,
38202,432283447,0.545684,0.30067,
38203,432295134,0.547134,0.302051,
38204,432306084,0.547219,0.302494,
38205,432316794,0.544625,0.300962,
38206,432328353,0.534808,0.295411,
38207,432339583,0.518267,0.288056,
38208,432349974,0.499305,0.280559,
38209,432361738,0.481643,0.273538,
38210,432372790,0.466388,0.26708,
38211,432383360,0.45294,0.261018,
38212,432395102,0.441353,0.255853,
38213,432406176,0.431399,0.251706,
38214,432416771,0.422879,0.248105,
38215,432428330,0.415099,0.244807,
38216,432439424,0.408015,0.241766,
38217,432450115,0.401636,0.23927,
38218,432461869,0.396333,0.23723,
38219,432472827,0.391682,0.235213,
38220,432483382,0.387661,0.232951,
38221,432495046,0.384054,0.230433,
38222,432506031,0.380765,0.228,
38223,432516608,0.377825,0.225763,
38224,432528273,0.375264,0.223936,
38225,432539489,0.373054,0.222259,
38226,432550031,0.370845,0.220846,
38227,432561546,0.369835,0.223006,
38228,432572755,0.37032,0.233976,
38229,432583183,0.371834,0.263127,
38230,432594931,0.373873,0.304731,
38231,432605929,0.375737,0.34489,
38232,432616615,0.377623,0.377752,
38233,432628241,0.379155,0.403239,
38234,432639297,0.380502,0.425319,
38235,432649805,0.381754,0.444798,
38236,432661531,0.383177,0.461404,
38237,432672549,0.384658,0.47553,
38238,432683227,0.386014,0.486901,
38239,432694803,0.387102,0.496333,
38240,432705823,0.387931,0.504448,
38241,432716505,0.388665,0.512051,
38242,432728192,0.389264,0.518488,
38243,432739232,0.389897,0.524144,
38244,432749886,0.390456,0.528821,
38245,432761407,0.39108,0.532694,
38246,432772476,0.391518,0.535727,
38247,432783157,0.392041,0.538618,
38248,432794742,0.392963,0.541786,
38249,432805800,0.394071,0.544562,
38250,432816415,0.395053,0.546743,
38251,432828179,0.395657,0.548483,
38252,432839080,0.396007,0.550125,
38253,432849645,0.396173,0.551482,
38254,432861302,0.396523,0.552699,
38255,432872464,0.396975,0.553687,
38256,432883163,0.397639,0.554925,
38257,432894691,0.397874,0.555663,
38258,432905736,0.397973,0.556347,
38259,432916375,0.398112,0.557223,
38260,432928144,0.398556,0.558728,
38261,432939055,0.39875,0.560866,
38262,432949664,0.398806,0.5626,
38263,432961291,0.398922,0.564104,
38264,432972369,0.399266,0.564847,
38265,432983008,0.399506,0.5652,
38266,432994703,0.399615,0.565481,
38267,433005677,0.399588,0.565967,
38268,433016241,0.399687,0.566622,
38269,433027943,0.399926,0.566955,
38270,433039096,0.400265,0.567275,
38271,433049634,0.400552,0.567606,
38272,433061282,0.400703,0.56836,
38273,433072315,0.400908,0.569016,
38274,433082777,0.401159,0.569945,
38275,433094543,0.40155,0.570839,
38276,433105691,0.402045,0.57141,
38277,433116273,0.402575,0.57145,
38278,433127978,0.403127,0.57108,
38279,433138951,0.403342,0.570003,
38280,433149437,0.403529,0.565229,
38281,433161187,0.403451,0.552566,
38282,433172238,0.403571,0.531476,
38283,433182867,0.403782,0.506382,
38284,433194552,0.403958,0.483152,
38285,433205554,0.404068,0.463152,
38286,433215992,0.40415,0.446292,
38287,433227760,0.404129,0.431744,
38288,433238840,0.404165,0.419782,
38289,433249405,0.404277,0.409768,
38290,433261054,0.404433,0.401206,
38291,433272091,0.404716,0.39375,
38292,433282668,0.404944,0.387035,
38293,433294334,0.405151,0.380666,
38294,433305400,0.405476,0.374109,
38295,433316065,0.405888,0.368171,
38296,433327623,0.406267,0.363522,
38297,433338675,0.40651,0.360362,
38298,433349292,0.406644,0.357856,
38299,433360920,0.407133,0.355879,
38300,433371947,0.407425,0.353796,
38301,433382663,0.407537,0.35194,
38302,433394360,0.407456,0.350062,
38303,433405395,0.407468,0.348284,
38304,433415848,0.407554,0.346689,
38305,433427536,0.407525,0.345172,
38306,433438499,0.407553,0.343782,
38307,433449186,0.4077,0.342256,
38308,433460766,0.407826,0.340707,
38309,433471856,0.408027,0.339248,
38310,433482468,0.408205,0.338259,
38311,433494125,0.40837,0.337561,
38312,433505181,0.408381,0.337001,
38313,433515726,0.408353,0.336215,
